"","genesysId","instCode","acceNumb","genus","12hr_DryMtrDigest","Fat","Fiber","Mtblzble_Enrgy","NetEnGain","NetEnLact","NetEnMaint","Phosphorus","Protein","Starch","TotalNutrients"
"2450",439014,"USA016","PI 267624","Sorghum",0.278,3.38,6.43,158.06,61.62,88.87,91.25,0.37,11.91,71.28,82.33
"2451",439078,"USA016","PI 284999","Sorghum",0.276,3.56,5.54,160.27,63.1,89.08,93.12,0.37,10.91,72.59,83.67
"2452",439080,"USA016","PI 287583","Sorghum",0.266,3.57,5.32,160.89,63.41,89.13,93.5,0.38,11.16,72.38,83.94
"2453",439081,"USA016","PI 287626","Sorghum",0.204,4.38,5.84,160.11,62.51,88.99,92.46,0.39,11.38,71.39,83.18
"2454",439111,"USA016","PI 302127","Sorghum",0.219,5.73,5.93,157.35,62.37,88.95,92.34,0.47,13.43,68.26,83.11
"2455",439144,"USA016","PI 308388","Sorghum",0.266,3.81,5.1,164.59,63.93,89.21,94.05,0.41,12.95,70.94,84.33
"2456",439145,"USA016","PI 308432","Sorghum",0.269,3.85,5.07,163.59,64.04,89.19,94.11,0.43,12.31,70.6,84.43
"2457",439146,"USA016","PI 308465","Sorghum",0.272,3.72,5.96,160.45,62.55,89,92.34,0.41,12.45,70.73,83.15
"2458",439147,"USA016","PI 308488","Sorghum",0.28,4.1,5.91,160.85,62.47,89,92.34,0.45,13.28,69.95,83.1
"2459",439344,"USA016","PI 430471","Sorghum",0.247,5.7,5.94,158.49,62.31,88.93,92.26,0.47,12.99,68.64,83.04
"2460",439655,"USA016","PI 475056","Sorghum",0.267,4.45,5.25,162.87,63.48,89.14,93.71,0.43,14.29,68.49,84.03
"2461",439659,"USA016","PI 475164","Sorghum",0.268,4.71,5.47,161.17,63.16,89.12,93.17,0.42,13.79,69.01,83.72
"2462",439706,"USA016","PI 485778","Sorghum",0.294,4.84,5.5,161.19,63.13,89.06,93.19,0.38,13.8,69.06,83.69
"2463",439708,"USA016","PI 485844","Sorghum",0.282,4.6,5.29,162.39,63.65,89.15,93.65,0.4,13.64,69.28,84.09
"2464",439709,"USA016","PI 485846","Sorghum",0.271,4.79,5.52,161.6,63.13,89.1,93.13,0.41,13.7,68.72,83.67
"2465",439818,"USA016","PI 510921","Sorghum",0.269,4.44,5.15,161.54,63.82,89.13,93.99,0.39,12.73,69.84,84.29
"2466",439819,"USA016","PI 510931","Sorghum",0.263,4.33,4.52,164.65,64.93,89.31,95.27,0.4,12.09,70.8,85.25
"2467",439820,"USA016","PI 510940","Sorghum",0.249,4.03,4.96,163.03,64.18,89.24,94.26,0.5,13.47,69.55,84.55
"2468",439821,"USA016","PI 510960","Sorghum",0.255,4.19,4.62,164.28,64.64,89.31,94.96,0.46,12.64,69.89,85
"2469",439834,"USA016","PI 511833","Sorghum",0.26,4.3,6.24,158.86,61.9,88.89,91.64,0.44,13.74,68.02,82.62
"2470",439987,"USA016","PI 526669","Sorghum",0.245,3.99,4.35,163.21,65.45,89.33,95.79,0.49,12.71,67.25,85.69
"2471",439989,"USA016","PI 526747","Sorghum",0.27,3.7,6.98,155.7,60.57,88.71,90.13,0.43,11.03,70.5,81.51
"2472",439992,"USA016","PI 526976","Sorghum",0.27,4.44,5.26,161.52,63.64,89.11,93.78,0.39,12.64,69.72,84.13
"2473",440080,"USA016","PI 532187","Sorghum",0.28,5.21,5.48,160.32,63.21,89.05,93.25,0.41,13.45,68.44,83.75
"2474",440081,"USA016","PI 532192","Sorghum",0.283,4.97,5.21,161.91,63.72,89.13,93.74,0.43,12.79,68.91,84.17
"2475",440083,"USA016","PI 532222","Sorghum",0.267,5.32,5.57,159.47,62.98,89.02,93.04,0.42,14.34,67.54,83.58
"2476",440088,"USA016","PI 533611","Sorghum",0.27,4.08,5.8,160.99,62.78,89.01,92.67,0.4,12.28,70.12,83.35
"2477",440089,"USA016","PI 533620","Sorghum",0.278,3.69,5.29,164.17,63.6,89.11,93.62,0.33,11.06,70.86,84.07
"2478",440090,"USA016","PI 533621","Sorghum",0.288,3.38,5.16,164.07,63.99,89.22,93.96,0.36,12.32,71.44,84.35
"2479",440093,"USA016","PI 533855","Sorghum",0.257,3.83,5.37,162.55,63.48,89.14,93.57,0.45,13.79,69.02,83.98
"2480",440095,"USA016","PI 533912","Sorghum",0.258,3.37,6.99,157.47,60.59,88.69,90.14,0.39,11.89,70.18,81.53
"2481",440097,"USA016","PI 533985","Sorghum",0.248,4.3,5.93,160.64,62.4,88.98,92.31,0.4,11.82,69.81,83.07
"2482",440098,"USA016","PI 534037","Sorghum",0.246,4.05,6.67,159.22,61.17,88.78,90.87,0.42,12.94,69.45,82.02
"2483",440099,"USA016","PI 534110","Sorghum",0.255,3.84,7.46,155.38,59.74,88.57,89.19,0.4,12.23,69.3,80.82
"2484",440101,"USA016","PI 534141","Sorghum",0.301,4.22,5.63,161.11,63.09,89.06,92.93,0.45,14.93,69.18,83.58
"2485",440147,"USA016","PI 540795","Sorghum",0.283,4.14,4.72,165.01,64.42,89.28,94.65,0.44,12.72,69.06,84.8
"2486",440155,"USA016","PI 542728","Sorghum",0.233,5.76,5.84,160.4,62.64,88.98,92.55,0.48,13.03,68.3,83.25
"2487",440156,"USA016","PI 542757","Sorghum",0.288,4.72,5.49,161.51,63.29,89.05,93.28,0.5,13.62,67.96,83.85
"2488",440157,"USA016","PI 542762","Sorghum",0.258,5.52,5.81,159.85,62.62,88.96,92.53,0.45,12.67,69.35,83.24
"2489",440164,"USA016","PI 545589","Sorghum",0.256,4.13,7.16,154.52,60.31,88.64,89.74,0.45,12.92,69.69,81.24
"2490",440165,"USA016","PI 547907","Sorghum",0.233,5.64,5.17,163.45,63.79,89.14,93.91,0.45,11.93,69.53,84.25
"2491",440166,"USA016","PI 547908","Sorghum",0.251,4.91,6.78,155.98,60.98,88.74,90.55,0.47,12.36,70.09,81.9
"2492",440168,"USA016","PI 547930","Sorghum",0.249,5.67,5.89,159.69,62.5,88.97,92.39,0.47,12.94,68.82,83.12
"2493",440169,"USA016","PI 548011","Sorghum",0.23,5.39,6.01,159.09,62.25,88.92,92.13,0.51,12.4,69,82.93
"2494",440170,"USA016","PI 548016","Sorghum",0.219,6.27,5.46,161.16,63.22,89.04,93.31,0.47,12.42,67.66,83.78
"2495",440171,"USA016","PI 548041","Sorghum",0.224,5.78,5.77,160.53,62.68,88.97,92.65,0.49,12.61,68.04,83.29
"2496",440173,"USA016","PI 550661","Sorghum",0.267,4.26,5.19,162.92,63.68,89.1,93.74,0.5,14.11,67.79,84.14
"2497",440174,"USA016","PI 550686","Sorghum",0.255,3.99,6.59,157.01,61.11,88.74,90.84,0.45,11.61,69.83,81.99
"2498",440175,"USA016","PI 550798","Sorghum",0.277,3.9,4.72,163.51,64.25,89.23,94.58,0.47,13.05,69.53,84.68
"2499",440176,"USA016","PI 550846","Sorghum",0.265,4.11,4.25,165.15,65.02,89.33,95.57,0.5,12.74,69.23,85.37
"2500",440177,"USA016","PI 550847","Sorghum",0.264,3.83,4.46,164.56,64.8,89.3,95.17,0.47,11.92,70.33,85.13
"2501",440178,"USA016","PI 550851","Sorghum",0.281,3.97,3.37,167.91,66.34,89.58,97.16,0.47,11.49,70.65,86.53
"2502",440179,"USA016","PI 550871","Sorghum",0.28,4.97,4.75,163.15,64.38,89.2,94.64,0.54,13.24,68.97,84.75
"2503",440210,"USA016","PI 560371","Sorghum",0.203,5.29,5.45,160.46,63.23,89.04,93.18,0.48,10.7,69.64,83.74
"2504",440211,"USA016","PI 560487","Sorghum",0.246,4.08,5.99,154.96,62.45,88.95,92.28,0.42,12.97,70.44,83.09
"2505",440225,"USA016","PI 562723","Sorghum",0.258,3.78,5.49,158,63.31,89.15,93.24,0.49,15.43,69.51,83.8
"2506",440226,"USA016","PI 562727","Sorghum",0.177,4.07,8.02,147.82,58.72,88.43,88.07,0.47,12.81,69.14,79.97
"2507",440230,"USA016","PI 562945","Sorghum",0.241,4.06,5.24,158.44,63.8,89.17,93.79,0.46,12.39,70.98,84.23
"2508",440236,"USA016","PI 563119","Sorghum",0.207,3.95,6.65,153.05,61,88.71,90.8,0.4,11.86,70.91,81.94
"2509",440245,"USA016","PI 563598","Sorghum",0.258,4.24,4.98,160.17,64.29,89.24,94.4,0.43,12.88,70.16,84.67
"2510",440247,"USA016","PI 563675","Sorghum",0.262,4.08,4.04,162.84,65.7,89.42,96.19,0.39,10.96,71.32,85.95
"2511",440248,"USA016","PI 563699","Sorghum",0.255,3.72,6.24,155.88,61.81,88.88,91.68,0.38,12.35,70.08,82.63
"2512",440249,"USA016","PI 563709","Sorghum",0.235,4.18,5.16,159.09,63.69,89.15,93.95,0.37,10.83,72.59,84.25
"2513",440250,"USA016","PI 563720","Sorghum",0.268,4.3,3.6,164.49,66.48,89.54,97.14,0.37,11.2,71.85,86.62
"2514",440251,"USA016","PI 563763","Sorghum",0.237,4.49,4.17,161.96,65.44,89.42,95.94,0.38,11.1,70.86,85.73
"2515",440254,"USA016","PI 565177","Sorghum",0.241,3.34,5.99,155.68,62.43,88.94,92.23,0.38,11.43,71.46,83.08
"2516",440255,"USA016","PI 567795","Sorghum",0.187,5.14,5.78,156.87,62.59,88.99,92.66,0.44,12.48,71.72,83.29
"2517",440260,"USA016","PI 567974","Sorghum",0.211,4.85,5.21,159.72,63.6,89.16,93.84,0.41,11.35,72.6,84.15
"2518",440261,"USA016","PI 567987","Sorghum",0.237,4.72,5.66,156.72,62.86,89.01,92.9,0.41,12.03,71.78,83.49
"2519",440512,"USA016","PI 599723","Sorghum",0.196,4.27,7.53,149.44,59.59,88.57,89,0.49,14.04,69.46,80.63
"2520",440526,"USA016","PI 599812","Sorghum",0.251,2.9,5.31,158.27,63.46,89.12,93.63,0.33,11.41,71.88,84.03
"2521",440527,"USA016","PI 599818","Sorghum",0.243,2.94,5.13,159.19,63.69,89.15,93.98,0.36,11.33,71.55,84.25
"2522",440529,"USA016","PI 599900","Sorghum",0.198,3.44,9.11,142.49,56.66,88.1,85.69,0.43,14.24,69.08,78.22
"2523",440530,"USA016","PI 599943","Sorghum",0.226,3.73,7.01,150.43,60.34,88.68,90.06,0.46,14.81,68.43,81.36
"2524",440531,"USA016","PI 599954","Sorghum",0.238,3.51,6.33,152.19,61.55,88.83,91.49,0.37,12.61,70.27,82.44
"2525",440535,"USA016","PI 601892","Sorghum",0.214,3.36,7.66,150.3,59.38,88.54,88.69,0.38,11.1,71.36,80.47
"2526",440536,"USA016","PI 601924","Sorghum",0.248,2.98,7.76,149.02,59.19,88.51,88.51,0.36,12.61,71.58,80.31
"2527",440542,"USA016","PI 602693","Sorghum",0.197,3.47,8.21,146.53,58.44,88.38,87.6,0.42,13.23,70.02,79.63
"2528",440543,"USA016","PI 602711","Sorghum",0.248,4.41,6.7,153.68,61.26,88.78,90.72,0.52,16.64,66.36,81.98
"2529",440544,"USA016","PI 602718","Sorghum",0.147,3.68,9.32,142.34,56.25,88.04,85.24,0.43,13.3,67.75,77.87
"2530",440545,"USA016","PI 602748","Sorghum",0.159,3.23,6.65,153.57,61.04,88.78,90.84,0.34,9.75,72.04,81.98
"2531",440546,"USA016","PI 602758","Sorghum",0.224,4.1,6.87,152.15,60.76,88.7,90.34,0.41,12.46,71.72,81.7
"2532",440547,"USA016","PI 602769","Sorghum",0.172,4.2,6.49,155.89,61.46,88.8,91.23,0.38,10.85,70.89,82.29
"2533",440548,"USA016","PI 602771","Sorghum",0.187,4.71,5.67,157.37,62.88,89,92.89,0.39,11.14,71.21,83.5
"2534",440549,"USA016","PI 602776","Sorghum",0.197,5.06,6.28,154.24,61.86,88.85,91.63,0.42,11.44,71.15,82.63
"2535",453880,"USA016","PI 643111","Sorghum",0.246,5.25,5.04,163.64,63.96,89.16,94.17,0.38,11.61,70.46,84.45
"2536",453970,"USA016","PI 585333","Sorghum",0.269,4.12,5.22,159.04,63.71,89.17,93.79,0.42,12.15,72.07,84.16
"2537",453972,"USA016","PI 585378","Sorghum",0.242,3.79,6.01,154.8,62.11,88.89,92.13,0.38,11.47,70.07,82.93
"2538",453995,"USA016","PI 586068","Sorghum",0.246,4.29,4.73,160.67,64.47,89.25,94.78,0.45,12.62,70.89,84.85
"2539",454010,"USA016","PI 586497","Sorghum",0.254,4.53,4.78,160.55,64.33,89.24,94.64,0.41,12.5,70.29,84.76
"2540",454315,"USA016","PI 90769","Sorghum",0.22,4.84,6.37,157.39,61.6,88.82,91.4,0.43,11.27,69.46,82.43
"2541",454468,"USA016","PI 170804","Sorghum",0.264,4.47,5.75,160.51,62.89,89.03,92.72,0.45,14.28,68.25,83.41
"2542",454479,"USA016","PI 173114","Sorghum",0.168,4.42,8.86,147.82,57.04,88.21,86.19,0.47,13.62,65.82,78.64
"2543",454616,"USA016","PI 221610","Sorghum",0.192,3.66,8.25,149.8,58.16,88.32,87.4,0.4,12.37,69.18,79.51
"2544",454647,"USA016","PI 236291","Sorghum",0.288,4.25,5.95,158.87,62.45,88.96,92.24,0.45,14.22,68.91,83.03
"2545",454672,"USA016","PI 248323","Sorghum",0.187,4.47,6.73,156.58,61.02,88.74,90.68,0.43,13.14,68.96,81.89
"2546",454673,"USA016","PI 248325","Sorghum",0.151,5.36,8.24,148.4,58.07,88.27,87.59,0.51,15.94,63.83,79.56
"2547",454712,"USA016","PI 267321","Sorghum",0.266,3.74,5.65,160.8,62.95,89.05,92.89,0.37,12.16,71.75,83.5
"2548",454713,"USA016","PI 267322","Sorghum",0.251,4,5.8,161.58,62.71,89,92.59,0.35,11.85,71.19,83.29
"2549",454719,"USA016","PI 267497","Sorghum",0.186,4.53,6.12,158.43,61.77,88.87,91.9,0.34,10.37,70.2,82.72
"2550",454794,"USA016","PI 287571","Sorghum",0.268,3.62,5.65,159.57,62.84,89.04,92.82,0.41,12.35,71.15,83.44
"2551",454835,"USA016","PI 308239","Sorghum",0.285,3.83,5.2,162.29,63.81,89.17,93.87,0.42,12.91,70.74,84.23
"2552",454840,"USA016","PI 308433","Sorghum",0.277,3.95,4.72,164.12,64.54,89.3,94.81,0.44,13.48,70.66,84.87
"2553",454841,"USA016","PI 308459","Sorghum",0.274,3.87,5.74,160.84,62.78,89.06,92.65,0.46,14.18,69.35,83.31
"2554",454843,"USA016","PI 308467","Sorghum",0.267,3.89,4.89,164.13,64.22,89.25,94.43,0.37,11.15,71.95,84.61
"2555",454844,"USA016","PI 308491","Sorghum",0.234,4.87,4.49,167.11,65.03,89.36,95.32,0.4,10.68,71.65,85.31
"2556",454872,"USA016","PI 326292","Sorghum",0.269,4.42,5.29,162.53,63.54,89.11,93.6,0.45,13.99,68.55,84.03
