"genesysId","instCode","acceNumb","genus"
"10570","USA016","PI 599824","Sorghum"
"10572","USA016","PI 599843","Sorghum"
"10573","USA016","PI 599844","Sorghum"
"10575","USA016","PI 599902","Sorghum"
"10576","USA016","PI 599911","Sorghum"
"10577","USA016","PI 599920","Sorghum"
"10578","USA016","PI 599937","Sorghum"
"10581","USA016","PI 601825","Sorghum"
"10584","USA016","PI 602716","Sorghum"
"10585","USA016","PI 602724","Sorghum"
"10586","USA016","PI 602725","Sorghum"
"10587","USA016","PI 602734","Sorghum"
"10588","USA016","PI 602765","Sorghum"
"10589","USA016","PI 602767","Sorghum"
"10591","USA016","PI 602832","Sorghum"
"24069","USA016","PI 643105","Sorghum"
"24070","USA016","Grif 586","Sorghum"
"24071","USA016","Grif 587","Sorghum"
"24169","USA016","PI 585315","Sorghum"
"24170","USA016","PI 585332","Sorghum"
"24453","USA016","PI 76407","Sorghum"
"24454","USA016","PI 76408","Sorghum"
"24740","USA016","PI 164397","Sorghum"
"24741","USA016","PI 164508","Sorghum"
"24769","USA016","PI 176767","Sorghum"
"24778","USA016","PI 179747","Sorghum"
"24869","USA016","PI 209761","Sorghum"
"24870","USA016","PI 209792","Sorghum"
"24902","USA016","PI 228318","Sorghum"
"24904","USA016","PI 229873","Sorghum"
"24930","USA016","PI 246720","Sorghum"
"24956","USA016","PI 257317","Sorghum"
"24968","USA016","PI 262567","Sorghum"
"24979","USA016","PI 266958","Sorghum"
"24985","USA016","PI 267534","Sorghum"
"25063","USA016","PI 287590","Sorghum"
"25066","USA016","PI 287682","Sorghum"
"25087","USA016","PI 297133","Sorghum"
"25091","USA016","PI 302200","Sorghum"
"25295","USA016","PI 430469","Sorghum"
"25403","USA016","PI 455142","Sorghum"
"25499","USA016","PI 462055","Sorghum"
"25581","USA016","PI 475046","Sorghum"
"25582","USA016","PI 475095","Sorghum"
"25583","USA016","PI 475120","Sorghum"
"25585","USA016","PI 475160","Sorghum"
"25587","USA016","PI 475288","Sorghum"
"25593","USA016","PI 475430","Sorghum"
"25624","USA016","PI 482857","Sorghum"
"25632","USA016","PI 485915","Sorghum"
"25653","USA016","PI 495002","Sorghum"
"25749","USA016","PI 510951","Sorghum"
"25756","USA016","PI 511831","Sorghum"
"25774","USA016","PI 513634","Sorghum"
"25901","USA016","PI 527092","Sorghum"
"25975","USA016","PI 533609","Sorghum"
"25977","USA016","PI 533749","Sorghum"
"25978","USA016","PI 533774","Sorghum"
"25979","USA016","PI 533839","Sorghum"
"25983","USA016","PI 533900","Sorghum"
"25985","USA016","PI 533992","Sorghum"
"25987","USA016","PI 534058","Sorghum"
"25988","USA016","PI 534067","Sorghum"
"25990","USA016","PI 534097","Sorghum"
"25991","USA016","PI 534158","Sorghum"
"25996","USA016","PI 535779","Sorghum"
"26037","USA016","PI 542731","Sorghum"
"26038","USA016","PI 542742","Sorghum"
"26039","USA016","PI 542748","Sorghum"
"26040","USA016","PI 542755","Sorghum"
"26057","USA016","PI 547950","Sorghum"
"26058","USA016","PI 547958","Sorghum"
"26059","USA016","PI 548047","Sorghum"
"26062","USA016","PI 550645","Sorghum"
"26063","USA016","PI 550766","Sorghum"
"26064","USA016","PI 550769","Sorghum"
"26065","USA016","PI 550778","Sorghum"
"26067","USA016","PI 550793","Sorghum"
"26070","USA016","PI 550877","Sorghum"
"26094","USA016","PI 560415","Sorghum"
"26095","USA016","PI 560495","Sorghum"
"26109","USA016","PI 562217","Sorghum"
"26117","USA016","PI 562713","Sorghum"
"26118","USA016","PI 562714","Sorghum"
"26121","USA016","PI 562744","Sorghum"
"26133","USA016","PI 563082","Sorghum"
"26136","USA016","PI 563142","Sorghum"
"26144","USA016","PI 563404","Sorghum"
"26146","USA016","PI 563419","Sorghum"
"26147","USA016","PI 563431","Sorghum"
"26148","USA016","PI 563456","Sorghum"
"26150","USA016","PI 563533","Sorghum"
"26151","USA016","PI 563580","Sorghum"
"26152","USA016","PI 563618","Sorghum"
"26156","USA016","PI 563828","Sorghum"
"26157","USA016","PI 563843","Sorghum"
"26165","USA016","PI 565158","Sorghum"
"26171","USA016","PI 568011","Sorghum"
"26303","USA016","PI 576126","Sorghum"
"26455","USA016","PI 599710","Sorghum"
"26456","USA016","PI 599721","Sorghum"
"26469","USA016","PI 599842","Sorghum"
"26472","USA016","PI 599885","Sorghum"
"26473","USA016","PI 599916","Sorghum"
"26474","USA016","PI 599934","Sorghum"
"26475","USA016","PI 599962","Sorghum"
"26479","USA016","PI 601821","Sorghum"
"26480","USA016","PI 601866","Sorghum"
"26481","USA016","PI 601909","Sorghum"
"26482","USA016","PI 601914","Sorghum"
"26486","USA016","PI 602757","Sorghum"
"26487","USA016","PI 602762","Sorghum"
"26488","USA016","PI 602802","Sorghum"
"26489","USA016","PI 602806","Sorghum"
"26490","USA016","PI 602813","Sorghum"
"40150","USA016","PI 643099","Sorghum"
"40156","USA016","Grif 602","Sorghum"
"40261","USA016","PI 585675","Sorghum"
"40273","USA016","PI 586081","Sorghum"
"40288","USA016","PI 586504","Sorghum"
"40289","USA016","PI 586534","Sorghum"
"40388","USA016","PI 35038","Sorghum"
"40801","USA016","PI 174380","Sorghum"
"40910","USA016","PI 208708","Sorghum"
"40936","USA016","PI 221613","Sorghum"
"40997","USA016","PI 250231","Sorghum"
"40998","USA016","PI 250404","Sorghum"
"40999","USA016","PI 250405","Sorghum"
"41052","USA016","PI 267117","Sorghum"
"41053","USA016","PI 267121","Sorghum"
"41059","USA016","PI 267523","Sorghum"
"41060","USA016","PI 267532","Sorghum"
"41067","USA016","PI 269976","Sorghum"
"41113","USA016","PI 284974","Sorghum"
"41114","USA016","PI 285001","Sorghum"
"41190","USA016","PI 308259","Sorghum"
"41191","USA016","PI 308276","Sorghum"
"41192","USA016","PI 308294","Sorghum"
"41193","USA016","PI 308298","Sorghum"
"41200","USA016","PI 308496","Sorghum"
"41563","USA016","PI 462058","Sorghum"
"41674","USA016","PI 475079","Sorghum"
"41677","USA016","PI 475113","Sorghum"
"41679","USA016","PI 475183","Sorghum"
"41682","USA016","PI 475359","Sorghum"
"41683","USA016","PI 475427","Sorghum"
"41773","USA016","PI 499308","Sorghum"
"41774","USA016","PI 499330","Sorghum"
"41841","USA016","PI 511785","Sorghum"
"41843","USA016","PI 511797","Sorghum"
"41998","USA016","PI 526601","Sorghum"
"42010","USA016","PI 527125","Sorghum"
"42013","USA016","PI 527227","Sorghum"
"42083","USA016","PI 532189","Sorghum"
"42085","USA016","PI 532878","Sorghum"
"42086","USA016","PI 533622","Sorghum"
"42089","USA016","PI 533892","Sorghum"
"42090","USA016","PI 534032","Sorghum"
"42091","USA016","PI 534036","Sorghum"
"42096","USA016","PI 534144","Sorghum"
"42161","USA016","PI 547969","Sorghum"
"42163","USA016","PI 548059","Sorghum"
"42170","USA016","PI 550779","Sorghum"
"42171","USA016","PI 550790","Sorghum"
"42172","USA016","PI 550806","Sorghum"
"42173","USA016","PI 550808","Sorghum"
"42209","USA016","PI 562348","Sorghum"
"42212","USA016","PI 562704","Sorghum"
"42213","USA016","PI 562720","Sorghum"
"42218","USA016","PI 562946","Sorghum"
"42222","USA016","PI 563115","Sorghum"
"42224","USA016","PI 563132","Sorghum"
"42231","USA016","PI 563266","Sorghum"
"42234","USA016","PI 563418","Sorghum"
"42236","USA016","PI 563540","Sorghum"
"42237","USA016","PI 563543","Sorghum"
"42238","USA016","PI 563565","Sorghum"
"42239","USA016","PI 563795","Sorghum"
"42241","USA016","PI 563817","Sorghum"
"42250","USA016","PI 567805","Sorghum"
"42275","USA016","PI 569170","Sorghum"
"42518","USA016","PI 599693","Sorghum"
"42529","USA016","PI 599839","Sorghum"
"42530","USA016","PI 599850","Sorghum"
"42531","USA016","PI 599858","Sorghum"
"42532","USA016","PI 599887","Sorghum"
"42533","USA016","PI 599896","Sorghum"
"42534","USA016","PI 599933","Sorghum"
"42535","USA016","PI 599940","Sorghum"
"42536","USA016","PI 599960","Sorghum"
"42540","USA016","PI 601824","Sorghum"
"42541","USA016","PI 601872","Sorghum"
"42546","USA016","PI 602770","Sorghum"
"42547","USA016","PI 602775","Sorghum"
"42548","USA016","PI 602794","Sorghum"
"55915","USA016","Grif 552","Sorghum"
"55918","USA016","Grif 624","Sorghum"
"56004","USA016","Grif 7258","Sorghum"
"56008","USA016","PI 585343","Sorghum"
"56009","USA016","PI 585368","Sorghum"
"56011","USA016","PI 585379","Sorghum"
"56046","USA016","PI 586453","Sorghum"
"56047","USA016","PI 586529","Sorghum"
"56138","USA016","PI 48770","Sorghum"
"56358","USA016","PI 88004","Sorghum"
"56531","USA016","PI 164843","Sorghum"
"56552","USA016","PI 170788","Sorghum"
"56567","USA016","PI 177160","Sorghum"
"56653","USA016","PI 197547","Sorghum"
"56707","USA016","PI 221671","Sorghum"
"56721","USA016","PI 229866","Sorghum"
"56729","USA016","PI 234456","Sorghum"
"56735","USA016","PI 236282","Sorghum"
"56765","USA016","PI 246694","Sorghum"
"56766","USA016","PI 246700","Sorghum"
"56784","USA016","PI 253641","Sorghum"
"56807","USA016","PI 267125","Sorghum"
"56808","USA016","PI 267130","Sorghum"
"56811","USA016","PI 267512","Sorghum"
"56878","USA016","PI 284998","Sorghum"
"56884","USA016","PI 287662","Sorghum"
"56897","USA016","PI 291379","Sorghum"
"56914","USA016","PI 302134","Sorghum"
"56941","USA016","PI 308226","Sorghum"
"56942","USA016","PI 308230","Sorghum"
"56988","USA016","PI 326291","Sorghum"
"57129","USA016","PI 408817","Sorghum"
"57148","USA016","PI 430468","Sorghum"
"57435","USA016","PI 465236","Sorghum"
"57493","USA016","PI 475258","Sorghum"
"57494","USA016","PI 475315","Sorghum"
"57496","USA016","PI 475360","Sorghum"
"57498","USA016","PI 475434","Sorghum"
"57632","USA016","PI 510972","Sorghum"
"57634","USA016","PI 511017","Sorghum"
"57663","USA016","PI 513762","Sorghum"
"57669","USA016","PI 513823","Sorghum"
"57860","USA016","PI 532228","Sorghum"
"57863","USA016","PI 532885","Sorghum"
"57866","USA016","PI 533612","Sorghum"
"57867","USA016","PI 533615","Sorghum"
"57872","USA016","PI 533949","Sorghum"
"57875","USA016","PI 534041","Sorghum"
"57876","USA016","PI 534045","Sorghum"
"57877","USA016","PI 534088","Sorghum"
"57878","USA016","PI 534106","Sorghum"
"57889","USA016","PI 535798","Sorghum"
"57918","USA016","PI 538362","Sorghum"
"57944","USA016","PI 542726","Sorghum"
"57949","USA016","PI 543257","Sorghum"
"57961","USA016","PI 547957","Sorghum"
"57962","USA016","PI 547997","Sorghum"
"57963","USA016","PI 548010","Sorghum"
"57964","USA016","PI 548056","Sorghum"
"57972","USA016","PI 550682","Sorghum"
"57973","USA016","PI 550755","Sorghum"
"57974","USA016","PI 550762","Sorghum"
"57975","USA016","PI 550812","Sorghum"
"57976","USA016","PI 550819","Sorghum"
"58012","USA016","PI 560450","Sorghum"
"58037","USA016","PI 562721","Sorghum"
"58038","USA016","PI 562762","Sorghum"
"58040","USA016","PI 562803","Sorghum"
"58043","USA016","PI 562813","Sorghum"
"58055","USA016","PI 563090","Sorghum"
"58056","USA016","PI 563210","Sorghum"
"58057","USA016","PI 563212","Sorghum"
"58059","USA016","PI 563265","Sorghum"
"58063","USA016","PI 563394","Sorghum"
"58064","USA016","PI 563488","Sorghum"
"58065","USA016","PI 563503","Sorghum"
"58068","USA016","PI 563572","Sorghum"
"58069","USA016","PI 563606","Sorghum"
"58070","USA016","PI 563609","Sorghum"
"58071","USA016","PI 563644","Sorghum"
"58072","USA016","PI 563790","Sorghum"
"58073","USA016","PI 563807","Sorghum"
"58074","USA016","PI 563811","Sorghum"
"58076","USA016","PI 563830","Sorghum"
"58078","USA016","PI 563845","Sorghum"
"58085","USA016","PI 565142","Sorghum"
"58086","USA016","PI 567931","Sorghum"
"58201","USA016","PI 584001","Sorghum"
"58369","USA016","PI 599734","Sorghum"
"58370","USA016","PI 599742","Sorghum"
"58371","USA016","PI 599829","Sorghum"
"58373","USA016","PI 599863","Sorghum"
"58374","USA016","PI 599909","Sorghum"
"58375","USA016","PI 599952","Sorghum"
"58376","USA016","PI 599967","Sorghum"
"58381","USA016","PI 601823","Sorghum"
"58382","USA016","PI 601831","Sorghum"
"58383","USA016","PI 601871","Sorghum"
"58384","USA016","PI 601905","Sorghum"
"58385","USA016","PI 601922","Sorghum"
"58386","USA016","PI 601927","Sorghum"
"58387","USA016","PI 601934","Sorghum"
"58393","USA016","PI 602687","Sorghum"
"58394","USA016","PI 602703","Sorghum"
"58395","USA016","PI 602717","Sorghum"
"58396","USA016","PI 602735","Sorghum"
"58397","USA016","PI 602773","Sorghum"
"58400","USA016","PI 602820","Sorghum"
"58401","USA016","PI 602822","Sorghum"
"58402","USA016","PI 602824","Sorghum"
"71985","USA016","Grif 611","Sorghum"
"72068","USA016","Grif 7267","Sorghum"
"72069","USA016","PI 585311","Sorghum"
"72101","USA016","PI 586071","Sorghum"
"72102","USA016","PI 586090","Sorghum"
"72112","USA016","PI 586443","Sorghum"
"72321","USA016","PI 63923","Sorghum"
"72544","USA016","PI 144136","Sorghum"
"72637","USA016","PI 177080","Sorghum"
"72662","USA016","PI 192876","Sorghum"
"72735","USA016","PI 206995","Sorghum"
"72747","USA016","PI 215654","Sorghum"
"72751","USA016","PI 217791","Sorghum"
"72774","USA016","PI 229859","Sorghum"
"72775","USA016","PI 229865","Sorghum"
"72801","USA016","PI 246713","Sorghum"
"72846","USA016","PI 267112","Sorghum"
"72849","USA016","PI 267493","Sorghum"
"72910","USA016","PI 287624","Sorghum"
"72921","USA016","PI 291212","Sorghum"
"72940","USA016","PI 297199","Sorghum"
"72980","USA016","PI 308375","Sorghum"
"72983","USA016","PI 308429","Sorghum"
"73406","USA016","PI 462050","Sorghum"
"73515","USA016","PI 475115","Sorghum"
"73552","USA016","PI 485791","Sorghum"
"73561","USA016","PI 486075","Sorghum"
"73676","USA016","PI 510950","Sorghum"
"73678","USA016","PI 511015","Sorghum"
"73686","USA016","PI 511799","Sorghum"
"73687","USA016","PI 511830","Sorghum"
"73845","USA016","PI 526938","Sorghum"
"73932","USA016","PI 533752","Sorghum"
"73933","USA016","PI 533825","Sorghum"
"73934","USA016","PI 533835","Sorghum"
"73935","USA016","PI 533845","Sorghum"
"73938","USA016","PI 533926","Sorghum"
"73939","USA016","PI 533938","Sorghum"
"73944","USA016","PI 534052","Sorghum"
"73945","USA016","PI 534073","Sorghum"
"73946","USA016","PI 534149","Sorghum"
"73980","USA016","PI 542989","Sorghum"
"73998","USA016","PI 548040","Sorghum"
"74003","USA016","PI 550579","Sorghum"
"74004","USA016","PI 550582","Sorghum"
"74006","USA016","PI 550664","Sorghum"
"74007","USA016","PI 550678","Sorghum"
"74011","USA016","PI 550815","Sorghum"
"74012","USA016","PI 550870","Sorghum"
"74036","USA016","PI 560391","Sorghum"
"74037","USA016","PI 560401","Sorghum"
"74042","USA016","PI 560478","Sorghum"
"74061","USA016","PI 562722","Sorghum"
"74063","USA016","PI 562746","Sorghum"
"74066","USA016","PI 562894","Sorghum"
"74071","USA016","PI 563034","Sorghum"
"74072","USA016","PI 563037","Sorghum"
"74077","USA016","PI 563140","Sorghum"
"74082","USA016","PI 563423","Sorghum"
"74084","USA016","PI 563453","Sorghum"
"74085","USA016","PI 563455","Sorghum"
"74089","USA016","PI 563524","Sorghum"
"74090","USA016","PI 563537","Sorghum"
"74091","USA016","PI 563546","Sorghum"
"74093","USA016","PI 563766","Sorghum"
"74094","USA016","PI 563783","Sorghum"
"74095","USA016","PI 563800","Sorghum"
"74096","USA016","PI 563822","Sorghum"
"74103","USA016","PI 565151","Sorghum"
"74104","USA016","PI 565170","Sorghum"
"74106","USA016","PI 567918","Sorghum"
"74256","USA016","PI 586560","Sorghum"
"74403","USA016","PI 599699","Sorghum"
"74419","USA016","PI 599740","Sorghum"
"74420","USA016","PI 599743","Sorghum"
"74426","USA016","PI 599851","Sorghum"
"74427","USA016","PI 599905","Sorghum"
"74430","USA016","PI 601826","Sorghum"
"74431","USA016","PI 601828","Sorghum"
"74432","USA016","PI 601873","Sorghum"
"74433","USA016","PI 601881","Sorghum"
"74435","USA016","PI 601912","Sorghum"
"74436","USA016","PI 601916","Sorghum"
"74441","USA016","PI 602727","Sorghum"
"74442","USA016","PI 602753","Sorghum"
"74443","USA016","PI 602777","Sorghum"
"74444","USA016","PI 602791","Sorghum"
"74445","USA016","PI 602795","Sorghum"
"88017","USA016","PI 643109","Sorghum"
"88019","USA016","Grif 623","Sorghum"
"88115","USA016","PI 585300","Sorghum"
"88116","USA016","PI 585339","Sorghum"
"88138","USA016","PI 586084","Sorghum"
"88139","USA016","PI 586085","Sorghum"
"88154","USA016","PI 586469","Sorghum"
"88155","USA016","PI 586470","Sorghum"
"88158","USA016","PI 586526","Sorghum"
"88199","USA016","PI 19770","Sorghum"
"88306","USA016","PI 52606","Sorghum"
"88516","USA016","PI 92265","Sorghum"
"88696","USA016","PI 177077","Sorghum"
"88697","USA016","PI 177552","Sorghum"
"88698","USA016","PI 177553","Sorghum"
"88708","USA016","PI 182303","Sorghum"
"88753","USA016","PI 196054","Sorghum"
"88769","USA016","PI 196597","Sorghum"
"88908","USA016","PI 267370","Sorghum"
"88909","USA016","PI 267509","Sorghum"
"89036","USA016","PI 308240","Sorghum"
"89039","USA016","PI 308275","Sorghum"
"89040","USA016","PI 308281","Sorghum"
"89045","USA016","PI 308418","Sorghum"
"89047","USA016","PI 308460","Sorghum"
"89215","USA016","PI 408824","Sorghum"
"89547","USA016","PI 475070","Sorghum"
"89550","USA016","PI 475117","Sorghum"
"89559","USA016","PI 475214","Sorghum"
"89561","USA016","PI 475286","Sorghum"
"89562","USA016","PI 475295","Sorghum"
"89565","USA016","PI 475309","Sorghum"
"89568","USA016","PI 475353","Sorghum"
"89637","USA016","PI 495007","Sorghum"
"89679","USA016","PI 499297","Sorghum"
"89680","USA016","PI 499332","Sorghum"
"89731","USA016","PI 510919","Sorghum"
"89739","USA016","PI 511793","Sorghum"
"89740","USA016","PI 511802","Sorghum"
"89741","USA016","PI 511826","Sorghum"
"89854","USA016","PI 524580","Sorghum"
"89899","USA016","PI 527055","Sorghum"
"89901","USA016","PI 527135","Sorghum"
"89983","USA016","PI 532210","Sorghum"
"89984","USA016","PI 532219","Sorghum"
"89991","USA016","PI 533936","Sorghum"
"89994","USA016","PI 534139","Sorghum"
"90000","USA016","PI 535772","Sorghum"
"90001","USA016","PI 535780","Sorghum"
"90055","USA016","PI 540801","Sorghum"
"90059","USA016","PI 542754","Sorghum"
"90060","USA016","PI 542767","Sorghum"
"90070","USA016","PI 547948","Sorghum"
"90072","USA016","PI 548004","Sorghum"
"90074","USA016","PI 548032","Sorghum"
"90076","USA016","PI 548043","Sorghum"
"90077","USA016","PI 550608","Sorghum"
"90078","USA016","PI 550675","Sorghum"
"90079","USA016","PI 550827","Sorghum"
"90100","USA016","PI 560368","Sorghum"
"90101","USA016","PI 560374","Sorghum"
"90102","USA016","PI 560491","Sorghum"
"90103","USA016","PI 560493","Sorghum"
"90114","USA016","PI 562216","Sorghum"
"90115","USA016","PI 562226","Sorghum"
"90141","USA016","PI 563397","Sorghum"
"90142","USA016","PI 563608","Sorghum"
"90143","USA016","PI 563634","Sorghum"
"90144","USA016","PI 563655","Sorghum"
"90145","USA016","PI 563689","Sorghum"
"90146","USA016","PI 563805","Sorghum"
"90147","USA016","PI 563842","Sorghum"
"90155","USA016","PI 565130","Sorghum"
"90156","USA016","PI 565146","Sorghum"
"90157","USA016","PI 565149","Sorghum"
"90160","USA016","PI 567807","Sorghum"
"90162","USA016","PI 567937","Sorghum"
"90285","USA016","PI 576123","Sorghum"
"90286","USA016","PI 576128","Sorghum"
"90439","USA016","PI 599737","Sorghum"
"90441","USA016","PI 599817","Sorghum"
"90442","USA016","PI 599825","Sorghum"
"90444","USA016","PI 599941","Sorghum"
"90445","USA016","PI 599974","Sorghum"
"90449","USA016","PI 601841","Sorghum"
"90450","USA016","PI 601849","Sorghum"
"90451","USA016","PI 601926","Sorghum"
"90452","USA016","PI 602006","Sorghum"
"90456","USA016","PI 602752","Sorghum"
"90457","USA016","PI 602830","Sorghum"
"90458","USA016","PI 602831","Sorghum"
"104114","USA016","PI 585306","Sorghum"
"104115","USA016","PI 585318","Sorghum"
"104130","USA016","PI 585670","Sorghum"
"104142","USA016","PI 586073","Sorghum"
"104143","USA016","PI 586089","Sorghum"
"104154","USA016","PI 586385","Sorghum"
"104157","USA016","PI 586505","Sorghum"
"104774","USA016","PI 206996","Sorghum"
"104867","USA016","PI 257292","Sorghum"
"104892","USA016","PI 267387","Sorghum"
"104895","USA016","PI 267469","Sorghum"
"104897","USA016","PI 267498","Sorghum"
"104900","USA016","PI 267615","Sorghum"
"104979","USA016","PI 287568","Sorghum"
"104982","USA016","PI 287698","Sorghum"
"104983","USA016","PI 591372","Sorghum"
"105009","USA016","PI 302278","Sorghum"
"105010","USA016","PI 302279","Sorghum"
"105041","USA016","PI 308211","Sorghum"
"105042","USA016","PI 308217","Sorghum"
"105049","USA016","PI 308435","Sorghum"
"105050","USA016","PI 308464","Sorghum"
"105078","USA016","PI 326289","Sorghum"
"105528","USA016","PI 475319","Sorghum"
"105565","USA016","PI 485798","Sorghum"
"105608","USA016","PI 499288","Sorghum"
"105610","USA016","PI 499299","Sorghum"
"105612","USA016","PI 499321","Sorghum"
"105613","USA016","PI 499327","Sorghum"
"105673","USA016","PI 510917","Sorghum"
"105681","USA016","PI 511798","Sorghum"
"105814","USA016","PI 526603","Sorghum"
"105816","USA016","PI 526638","Sorghum"
"105831","USA016","PI 527229","Sorghum"
"105918","USA016","PI 533614","Sorghum"
"105919","USA016","PI 533618","Sorghum"
"105922","USA016","PI 533747","Sorghum"
"105925","USA016","PI 533838","Sorghum"
"105927","USA016","PI 533953","Sorghum"
"105928","USA016","PI 533991","Sorghum"
"105968","USA016","PI 540793","Sorghum"
"105973","USA016","PI 542733","Sorghum"
"105974","USA016","PI 542763","Sorghum"
"105994","USA016","PI 547935","Sorghum"
"105995","USA016","PI 547962","Sorghum"
"105996","USA016","PI 547983","Sorghum"
"105997","USA016","PI 547999","Sorghum"
"105998","USA016","PI 548018","Sorghum"
"106000","USA016","PI 548031","Sorghum"
"106009","USA016","PI 552854","Sorghum"
"106041","USA016","PI 560472","Sorghum"
"106042","USA016","PI 560480","Sorghum"
"106063","USA016","PI 562756","Sorghum"
"106064","USA016","PI 562760","Sorghum"
"106080","USA016","PI 563402","Sorghum"
"106083","USA016","PI 563588","Sorghum"
"106084","USA016","PI 563593","Sorghum"
"106085","USA016","PI 563622","Sorghum"
"106087","USA016","PI 563727","Sorghum"
"106088","USA016","PI 563751","Sorghum"
"106089","USA016","PI 563779","Sorghum"
"106090","USA016","PI 563791","Sorghum"
"106091","USA016","PI 563799","Sorghum"
"106097","USA016","PI 565122","Sorghum"
"106101","USA016","PI 567808","Sorghum"
"106102","USA016","PI 567926","Sorghum"
"106103","USA016","PI 567965","Sorghum"
"106396","USA016","PI 599717","Sorghum"
"106412","USA016","PI 599731","Sorghum"
"106413","USA016","PI 599732","Sorghum"
"106418","USA016","PI 599862","Sorghum"
"106419","USA016","PI 599913","Sorghum"
"106420","USA016","PI 599929","Sorghum"
"106421","USA016","PI 599945","Sorghum"
"106426","USA016","PI 601833","Sorghum"
"106427","USA016","PI 601899","Sorghum"
"106428","USA016","PI 601911","Sorghum"
"106436","USA016","PI 602678","Sorghum"
"106437","USA016","PI 602698","Sorghum"
"106438","USA016","PI 602706","Sorghum"
"106439","USA016","PI 602789","Sorghum"
"106440","USA016","PI 602803","Sorghum"
"106441","USA016","PI 602810","Sorghum"
"119930","USA016","Grif 582","Sorghum"
"120019","USA016","Grif 7271","Sorghum"
"120023","USA016","PI 585371","Sorghum"
"120046","USA016","PI 586086","Sorghum"
"120058","USA016","PI 586440","Sorghum"
"120059","USA016","PI 586441","Sorghum"
"120063","USA016","PI 586503","Sorghum"
"120064","USA016","PI 586513","Sorghum"
"120409","USA016","PI 88002","Sorghum"
"120440","USA016","PI 92271","Sorghum"
"120605","USA016","PI 180003","Sorghum"
"120710","USA016","PI 215609","Sorghum"
"120716","USA016","PI 220405","Sorghum"
"120732","USA016","PI 236279","Sorghum"
"120761","USA016","PI 250230","Sorghum"
